index,new_review
150,맛2 / 양2 / 배달2 / 세팅하다가 생각나서 사진을 찍었어요. 자주 시켜먹는데 모든 메뉴가 다 맛있어서 뭘 먹어도 실패가 없네요.
155,맛2 / 양2 / 배달2 / 배달 빠르고 김밥 맛있어요
156,맛2 / 양2 / 배달2 / 사진을 깜빡했네요. 배달도 빠르고 메뉴가 다 맛있었어요.
159,맛2 / 양2 / 배달2 / 매콤한 어묵에 마요도 같이 들어있어서 고소하고 맛있어요 .
161,맛2 / 양2 / 배달2 / 아는맛이지만 맛있었어요^^배달도 시간내에 왔어요^^
162,맛2 / 양2 / 배달2 / 고봉민은 항상 즐겨 먹는 곳 입니다.
163,맛1 / 양2 / 배달1 / 점심으로 자주 시키는데 오늘은 배달 기사님이 다른곳을 들렀다 오신건지 늦게 오셨어요.오늘 김밥은 밥이 너무 질고 차가워서 별로였어요ㅜㅜ고봉민김밥 맛있게 잘 먹었었는데 오늘은 너무 실망였어요
164,맛2 / 양2 / 배달2 / 너무 맛있어요!!!
166,맛2 / 양2 / 배달2 / 김밥은 맛있는데 순두부찌개는 조개도 안들어가고 계란도 통째로 안들어가고팽이버섯 잘게썰은거 에 순두부 양도 너무 적고 순두부찌개를 시켰는데 김밥에 곁들일 국물 시킨것같아요김밥집이 김밥만 잘하면 됐죠 뭐
167,맛2 / 양2 / 배달1 / 배달은좀 늦었지만 음식은 최고~ 단골 입니다
168,맛0 / 양0 / 배달0 / 주문거리는 685미터.배달 주문후 배달 받는데까지 1시간 20분 걸림.참고하세요
170,맛0 / 양0 / 배달0 / 참치김밥에 참치가......이렇게 적게든 참치김밥은 첨이네요매콤오뎅김밥도 매콤오뎅은 맛도 안날 정도로 넣으시고믿고 먹는 고봉민인데판교점은 앞으로 거릅니다
171,맛2 / 양2 / 배달2 / 고봉민은 주1회~2회 점심으로 즐겨 먹습니다.나가서 먹기 추울때 간단하게 먹기 좋고 양도 충분합니다.
172,맛2 / 양2 / 배달2 / 맛 좋음 재료 괜찮음.고봉민김밥 괜츈
173,맛2 / 양2 / 배달2 / 늘 맛있게 먹고있어서 별점 다드렸는데오늘은 평소와 다른게 수제비가 싱거웠고 김밥도 김밥천국느낌? 이었어요.그래도 다음에 또 시킬게요.늘 맛있었고 오늘은 유난히 더 바쁘셔서 그러셨을 수 있지요.
175,맛2 / 양2 / 배달2 / 배달 빨리왔어요. 소세지김밥 최고예요!!!
178,맛2 / 양2 / 배달2 / 참치랑 새우는 여전히 맛잇고 소시지도 잘 먹었습니다
180,맛2 / 양2 / 배달2 / 주 1회~2회 주문해 먹는데 맛있습니다.배달도 빠르고 점심으로 간단히 먹기에 좋습니다!
181,맛2 / 양2 / 배달2 / 쫄면과 돈까스 궁합이 좋아요. 너무 맛있어요~
183,맛2 / 양2 / 배달2 / 김밥이랑 우동 맛있는 건 알았는데 오징어덮밥도 너무 맛있네요~ 어떤 메뉴를 시켜도 실패가  없는 것 같아요~
184,맛2 / 양2 / 배달2 / 돈까스 김밥은 고봉민이 최고에요~~
185,"맛2 / 양2 / 배달2 / 늘 잘 먹고 있기는 한데요,, 점심 시간에 주문하고 1시간15분 만에 받다보니……"
186,맛2 / 양2 / 배달2 / 김밥속이 꽉차고맛있었어요강추합니다
187,맛2 / 양2 / 배달2 / 일주일에 1~2번 점심은 고봉민 입니다.김밥 어느하나 나무랄거없이 맛있습니다!날이 쌀쌀하니 장국도 추가하여 판매 하셨으면 좋겠습니다^^
188,맛1 / 양1 / 배달2 / 오랜만에 깔끔한 분식을 먹은기분이다.김밥집 답게 김밥이 매우 훌륭했다.수제비와 떡볶이는 조금 심심했으나 깔끔했다. 간을 조금 더하면 흠잡을데 없다고 생각한다.
189,맛2 / 양2 / 배달1 / 맛있게 잘 먹었습니다. 날이 많이 추워서인지 좀 식어서 렌지에 돌려 먹었습니다
190,맛0 / 양1 / 배달2 / 솔직히 김밥 4종이 다 그렇네요
192,맛0 / 양1 / 배달2 / 기대했던 맛은 아니네요ㅠ.ㅠ
194,맛2 / 양2 / 배달2 / 양도 맛도 혜자입니다 :D
195,"맛2 / 양2 / 배달2 / 오므라이스 너무 맛있네요!! 만두국 국물은 좋은데,, 만두가 살짝 아쉽네요"
196,맛2 / 양2 / 배달2 / 맛있게 잘  먹었습니다 ㅎㅎ
197,맛2 / 양2 / 배달2 / 배달도 빠르고 맛있었습니다
198,맛2 / 양2 / 배달2 / 맛있게 먹었어요 ..
199,맛2 / 양2 / 배달2 / 맛있게 잘 먹었어요~
200,맛2 / 양2 / 배달2 / 저희 팀원들이 고봉민김밥을 너무 좋아합니다.김밥 2줄에 음료 1개씩 먹는데 푸짐하고 맛도 좋습니다.
201,맛2 / 양2 / 배달2 / 맛나게 잘먹엇어요오
202,맛2 / 양2 / 배달2 / 모든 메뉴가 맛있습니다
203,맛2 / 양2 / 배달2 / 착한 가격의 판교 최고의 분식집 :D
204,맛2 / 양2 / 배달2 / 고봉민 단골이에요 맛있고 좋아요
205,맛2 / 양2 / 배달2 / 수제비 국물에 속이 다 풀리네요 :D
206,맛2 / 양2 / 배달2 / 배달도 빠르고 맛있게 잘 먹었습니다
207,맛2 / 양2 / 배달2 / 자주 주문해서 먹는 맛있는 가게 잘 먹었습니다~^^
208,맛2 / 양2 / 배달2 / 맛있게 잘 먹었습니다^^
210,맛2 / 양2 / 배달2 / 자주 이용하는 음식점^^ 양도 많고 맛도 좋습니다
211,"맛2 / 양2 / 배달2 / 간이 강하지 않아 좋아요. 수제비, 김밥 다 괜찮네요."
212,맛2 / 양2 / 배달2 / 순두부는 처음 시켜봤는데 넘 맛있었어요 !! 비빔밥은 항상 먹을 때마다 맛있네요 !! 다음엔 다른 메뉴 먹어볼게용
213,맛2 / 양2 / 배달2 / 맛있어서 바로다먹어버렸네용 배달도빨라요
215,맛2 / 양2 / 배달2 / 고봉민김밥 저희 팀원들이 너무 애정하는 곳 입니다.오이가 들어가지 않아 오이 알러지 있는 분도 너무 좋아합니다.모든 메뉴 다 맛있습니다!
216,맛1 / 양1 / 배달1 / 저희 동네가 아니라서 그런가봐요 국물부탁드렸는데 안 가져오셔서 ㅜ 원래 없나요 ?? 편의점 가기 귀찮아서 주문했는데 결국 다녀왔네요 ㅜ 그래서 별 하나씩 다 뺐어요
218,맛2 / 양2 / 배달1 / 예상시간보다 15분 정도 늦게 왔어요. 비빔밥은 처음이였는데 너무 맛있어서 먹으면서도 다음에 또 시켜먹어야지 생각했네요. 돈까스 종류는 항상 좀 아쉬운데(맛 말고 식감이나 비쥬얼) 아이는 좋아해요.
220,맛2 / 양2 / 배달2 / 진리의 돈까스김밥….항상신선해서 맛있어요
221,맛1 / 양1 / 배달1 / 깔끔한맛!내스타일!
222,맛2 / 양2 / 배달2 / 조아요 조아여 조아야
223,맛2 / 양2 / 배달2 / 조아여 조아요 조아여
224,맛2 / 양2 / 배달2 / 지금까지 4번 정도 시켜먹었는데 아주 맛있어요!앞으로도 토 일 계속 먹을 예정입니다!
225,맛2 / 양2 / 배달2 / 양도 푸짐 맛도있었 어요
226,맛2 / 양2 / 배달2 / 맛나요 엄마 배달시켜드렸어요
227,"맛2 / 양2 / 배달2 / 이 가격에 이 맛이라니,,,진짜 이렇게 맛잇는 비빔밥 오랜만이렷어여ㅠㅠㅠ비빔밥 세개 시켯는데 먹는 사람 셋다 감탄한맛,,! 고소하고 야채 양도 많고 굿굿"
229,맛0 / 양1 / 배달2 / 돈까스 잘튀겨져서 바삭해요. 근데 간이 안되있는듯해요.  비빔밥은 연출된 사진이라하지만.너무 다르고요. 고추장 양념하나. 참기름 없고요.국물도 없어요. 음식평이 좋아서 주문했는데?김밥이 맛있다고 평이 좋던데 다음엔 김밥으로 주문해볼께요.
231,맛2 / 양2 / 배달2 / 분식집의 정석.. 조아여
233,맛2 / 양2 / 배달2 / 가격도 좋고 맛도 평균이상입니다
235,맛2 / 양2 / 배달2 / 주문부터 배달까지 55분 걸렸습니다!고봉민 모든 김밥엔 원래 오이가 안들어가나요?오이 알러지 있는 분이 계셔 2줄엔 오이 빼달라 요청하였는데 모든김밥에 오이가 없어 어찌보면 다행이었어요.근데 원래 오이가 다 안들어간것인지 요청사항에 남긴 오이 빼달라는 요청에 2줄만 빼기 그래 다 뺀건지는 알수가 없네요ㅎㅎ26줄 시켜서 동료들과 맛있게 만족하며 먹었습니다.
236,맛2 / 양2 / 배달2 / 양도 적당하고 맛있었어요!
237,맛2 / 양2 / 배달2 / 배달이 빠르고 맛있었어요!
238,맛2 / 양2 / 배달2 / 쫄면 맛있게 잘먹었습니다.
239,맛1 / 양2 / 배달2 / 김밥맛있었으나 쫄며렇은 떡복기가 너무 퍼져 거의못먹고 버렸습니다
241,맛2 / 양2 / 배달2 / 맛있어요 잘먹었습니다
243,맛2 / 양2 / 배달2 / 김밥 너무 맛있습니다.!~
244,맛2 / 양2 / 배달2 / 맛있고 배달도 빠른데 돈까스류?는 좀 별로인 것 같아요. 여러 번 시켜먹어봤는데 기름이 문제인건지 매번 딱딱해서 씹기도 힘든 부분들이 있네요. 색도 별로구요. 김밥이나 쫄면은 맛있어요.
245,맛2 / 양2 / 배달2 / 수제비 맛있는 집!!!
246,맛2 / 양2 / 배달2 / 잘 먹었습니다.
247,맛2 / 양2 / 배달2 / 잘 먹었습니다. 쫄면이 젤 맛있어요.
248,맛0 / 양0 / 배달1 / 김밥이 너무 퍽퍽해요..깜짝놀랐어요
249,맛2 / 양2 / 배달2 / 너무 맛있고 양도 많고 배송도 빠르네요..다 먹고 빈 그릇 남았어요..
250,맛0 / 양1 / 배달1 / 맛은 그냥 그래요 배달하시는뷴은 너무 좋습니다오징어닾밥 돈가스에 국물이라도 하나 쥬시지
251,맛2 / 양2 / 배달2 / 음식이 빨리 왔어요. 잘먹었습니다.
252,맛2 / 양2 / 배달2 / 이집 김밥도 맛있었는데 식사도 맛있고 깔끔하네요~
253,맛1 / 양2 / 배달2 / 가성비 좋구요. 맛있게 잘먹었습니다~
258,맛1 / 양2 / 배달2 / 참치김밥맛이 좀 달라진 느낌~~~고소한맛이 덜해요
261,맛1 / 양1 / 배달1 / 아이들이 좋아해요 자주 애용해요
263,맛2 / 양2 / 배달2 / 조아요 조아요 조아요
264,맛2 / 양2 / 배달2 / 비빔밥 맛납니다가끔먹을듯합니다
268,맛2 / 양2 / 배달2 / 정말 괜찮네요. 돈까스도 너무 맛있고 김밥도 맛있었습니다.
271,맛2 / 양2 / 배달2 / 맛있게 잘 먹었습니다~
272,맛2 / 양1 / 배달2 / 맛있었어요 감사합니다
275,맛1 / 양2 / 배달2 / 쫄면은..네모난 덩어리인채로 굳어서 좀 아쉬웠는데김밥은 맛있었습니다
278,맛2 / 양2 / 배달2 / 맛있게 잘먹었습니다~ 역시 고봉민김밥이네요 ㅎㅎ 다 좋았는데 국물도 넣어주셨으면 좋았을것같아요
279,맛2 / 양2 / 배달2 / 떡볶이도 진짜로 맛있게 잘 먹었습니다
280,맛2 / 양2 / 배달2 / 조아여 조아여 조아여
281,맛2 / 양2 / 배달2 / 조아요ㅠㅈㅎ아요 조아요
283,맛0 / 양0 / 배달0 / 별로였어요.....
284,맛2 / 양2 / 배달2 / 배달 엄청 빨리왔어요수제비 맛이 엄청 맛있어요
286,맛2 / 양2 / 배달2 / 맛있어요. 김밥은 고봉민이니 기본은 하고 수제비가 의외로 맛있었어요. 국물이 시원해요
287,맛2 / 양2 / 배달1 / 양도 많고 맛도 좋아요쫄면에 돈가스 이건 보장된 맛이에요
288,맛1 / 양1 / 배달1 / 여긴 진짜 김밥 맛있어요근데..치즈돈가스는..음.그냥 돈가스가 맛있네요
290,맛1 / 양2 / 배달2 / 배달은 시간 오래 걸린다 했고 예상시간 안에 와서 음식이 많이 식지않았어요.김밥맛은 역시 좋고 양 실했는데.오징어 덮밥은 양은 많은데 소스가..떡뽁이맛이..^^;;조금 아쉬웠지만 맛있게 먹었어요.
291,맛2 / 양2 / 배달2 / 😀😀😀😀😀
292,맛2 / 양2 / 배달2 / 맛있어요 또 재구매할게요 감사합니다
294,맛2 / 양2 / 배달2 / 정갈하고 맛있습니다
296,맛2 / 양2 / 배달2 / 빠른 배달. 맛은 언제나처럼
297,맛2 / 양2 / 배달2 / 믿고먹는 고봉민 김밥입니다~~!
298,맛2 / 양2 / 배달2 / 맛도 배달도 만족합니다
299,맛2 / 양2 / 배달2 / 잘먹었습니다  많이 파세요
300,맛2 / 양2 / 배달2 / 언제 먹어도 마싯는 돈까스 김밥글고 고봉민운 김밥이랑 쫄면이랑 꼭 같이 먹어야해용 ㅎㅎ
302,맛1 / 양1 / 배달1 / 분식의 끝판왕!!!ㅎㅎㅎ*^^*
303,"맛2 / 양2 / 배달2 / 날씨가 너무 더워서 콩국수1,오므라이스1,웰치스 캔 음료1 시켰는데 배 고파서 허겁지겁 맛있게 먹었습니다. 고봉민 매장이 집 바로 뒤라서 포장 해 와도 되는데 너무 더워서 나갈 엄두가 안 나서 요기요에 배달 주문함.바로 집 앞인데 배달이 한 시간 가량 걸린것은 좀 이해가 안 되네요.점심시간 이후 나중에 시켰는 데도 늦어서 코로나 19 4단계와 폭염으로 인해서 매장 방문보다 배달 주문이 늘어서  그런가 하는 생각이 드네요.그리고 다음에는 콩국수에 얼음도 많이 띄워 보내 주세요집 냉동실에 마침 있던거로 썼어요아무튼 잘 먹었습니다."
304,맛2 / 양2 / 배달2 / 맛있어요 아이들도 잘먹어요
305,맛1 / 양1 / 배달2 / 참치김밥에 참치양이 눈에 띄게 줄었네요그래서인지 김밥이 많아 얇아졌어요..
306,"맛2 / 양2 / 배달2 / 맛있게 잘 먹었습니다. 이틀째 쫄면, 돈까스, 김밥 먹었는데 맛있어요~ 배달오자 한 컷, 먹다가 생각나서  또 한 컷 찍었습니다~"
307,맛2 / 양1 / 배달2 / 여름인대 고생 하시네요😇무더위 이겨내시고 함께 코로나 이겨넵시다!
308,"맛2 / 양2 / 배달2 / 완전 잘 받았고, 잘 먹었습니다~~ 끝나기 얼마 안 남고 주문 했는데, 해주셔서 감사합니다~~"
309,맛2 / 양2 / 배달2 / 항상 맛있어요^^ 잘 먹었습니다!
310,맛1 / 양1 / 배달0 / 12:31분에 주문하고 13:52분에 받았습니다. 점심인거 감안해도 너무 오래 걸려요. 몇 집을 들러서 오는 건지 모르겠어요. 지난번에도 1시간 넘게 걸렸는데 잊고 또 점심에 주문했네요;
311,"맛2 / 양2 / 배달2 / #식후감 우선 수제비는 정말 너무나 만족스러웠습니다. 살짝 후추 쳐서 먹으니 국물맛이…. 알으로 수제비 생각나면 다시 돌아오겠습니다. 비빔밥 양은 정말 어마어마 하더군요 ㅎ 제육덮밥 소스 맛있습니다! 살짝 맵지만 더 좋았구요,, 단지 제육의 양이 쫌 아쉬웠어요!"
312,맛2 / 양2 / 배달2 / 할머니가 새우김밥 맛있게 드셨습니다.돈까스김밥도 맛이좋았습니다.우동국물도 맛있습니다
313,맛2 / 양1 / 배달2 / 너무 맛있게 잘먹었어요~~^^
315,맛1 / 양1 / 배달2 / 음식맛도 좋지만 김밥가격이 다른 곳보다 저렴해서 좋아요
316,맛2 / 양2 / 배달2 / 빨리 배달되어 맛있게 잘 먹었습니다
317,맛2 / 양2 / 배달2 / 잘 먹었습니다~~!!
321,"맛2 / 양2 / 배달2 / 주말이라 크게 기대 안했는데 엄청 빨리 왔어요. 덕분에 우동, 김밥, 고치돈 다 따뜻하게 먹을 수 있었구요. 다만 고구마치즈돈까스가 너무 오래 튀긴 듯 너무 딱딱했어요ㅠㅜ (그래도 맛은 있었음^^)"
322,맛2 / 양2 / 배달2 / 배송도 빠르고 진짜 맛있게 잘 먹었어요
323,맛2 / 양2 / 배달2 / 잘 먹었습니다 ~_~
325,맛2 / 양2 / 배달2 / 시간보다 빨리주셨구요 맛나고 따뜻이아닌 겁게 보내주셨네요~비도 오는데 안전하게 음식 갔다주셔서 감사합니다. 참 맛있습니다~~
326,맛1 / 양1 / 배달2 / 배달은 빨라서 좋았습니다오프라이스는 먹을만했습니다떡볶이는 살다가 이렇게 맛없는 떡볶이는 처음 먹어봤습니다 설탕물에 고추장탄맛니알까 아무튼 떡볶이는 팔지마시기 바랍니다
327,맛2 / 양2 / 배달2 / 잘 먹었습니다~주말마다 먹는 것 같네요
328,맛2 / 양2 / 배달2 / 배달도 빠르고 배송기사님도 엄청 친절하시고 음식도 맛있으니 별 5개 ~~~
329,맛1 / 양1 / 배달2 / 떡볶이는 처음 시켜봤는데 좀 그랬는데 수제비.비빔국수는 맛있게 잘 먹었습니다 ~~
330,맛2 / 양2 / 배달2 / 잘 먹었어요~배달도 빠르고 좋네요
331,맛2 / 양2 / 배달2 / 맛있어요~가끔 시켜먹는데늘 잘 먹고 있습니다 : )
332,맛0 / 양0 / 배달0 / 치즈김밥4개 시켰는데4개 다 참치김밥이 왔네아이가 참치김밥은 안먹는데속상해요주문 잘 살펴보시고 배달 부탁드립니다
333,맛2 / 양2 / 배달2 / 배달 빠르고 맛도 좋아요 쫄면 짱 맛나요
335,맛2 / 양2 / 배달2 / 잘먹었습니다~~열자
336,맛1 / 양1 / 배달1 / 김밥자체는 괜찮아요. 근데 왜 물이 많이 생겼는지 모르겠어요. 포장지가 다 흠뻑 젖었어요. 그리고 단무지가 한봉지에 1-2개 든건 좀..
337,맛2 / 양2 / 배달2 / 막 뭐 대단히 맛있다 그런집은 아닌데항상 믿고먹는 프렌차이즈집입니다.아침에 출출할때 시켜먹으면 너무좋아요.
338,맛2 / 양2 / 배달2 / 포장도 깔끔하고 맛있었어요~ 양도 꽤 있고요 ㅎㅎ 배달해 주신 기사님도 요청 드린 사항 잘 들어주시고 친절하게 배달해 주셔서 기분 좋게 받고 맛있게 잘 먹었습니다 ^^
